ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-04-17,5.378215074019106,3.779792313906944,7.372588088178313,5.294426195228524,5.462356786199033,0.04234051277446307,0.04234051277446307,0.04234051277446307,0.04234051277446307,0.04234051277446307,0.04234051277446307,0.0,0.0,0.0,5.605931458064423
2021-04-18,5.378176321830441,3.2464817791837386,7.019538239874975,5.294175754887767,5.4624998323886365,-0.03991283020248621,-0.03991283020248621,-0.03991283020248621,-0.03991283020248621,-0.03991283020248621,-0.03991283020248621,0.0,0.0,0.0,5.16351808349819
2021-04-19,5.378137569641776,3.732078594712852,7.330508670369986,5.293925231224298,5.462642899968783,0.042242973458983174,0.042242973458983174,0.042242973458983174,0.042242973458983174,0.042242973458983174,0.042242973458983174,0.0,0.0,0.0,5.605326092254914
2021-04-20,5.378098817453112,3.027447610113498,6.533995843916318,5.29367470756083,5.462785967548929,-0.10451744233453747,-0.10451744233453747,-0.10451744233453747,-0.10451744233453747,-0.10451744233453747,-0.10451744233453747,0.0,0.0,0.0,4.815993684430512
2021-04-21,5.378060065264448,3.5971258673383826,7.1428717601968215,5.2934241838973595,5.4629406377783525,-0.004183907273938872,-0.004183907273938872,-0.004183907273938872,-0.004183907273938872,-0.004183907273938872,-0.004183907273938872,0.0,0.0,0.0,5.355558760637708
2021-04-22,5.378021313075783,3.4254977365220873,7.09972739543753,5.29317366023389,5.463098735210968,-0.015807238200827634,-0.015807238200827634,-0.015807238200827634,-0.015807238200827634,-0.015807238200827634,-0.015807238200827634,0.0,0.0,0.0,5.293009649130866
2021-04-23,5.3779825608871175,4.078521727719835,7.729260468138234,5.292926360316681,5.463249708205561,0.07983793177804005,0.07983793177804005,0.07983793177804005,0.07983793177804005,0.07983793177804005,0.07983793177804005,0.0,0.0,0.0,5.807349565686712
2021-04-24,5.377943808698453,3.7589985930048946,7.5309651568247284,5.292684004832749,5.463414364950249,0.042340512774731984,0.042340512774731984,0.042340512774731984,0.042340512774731984,0.042340512774731984,0.042340512774731984,0.0,0.0,0.0,5.605648707232441
2021-04-25,5.377905056509789,3.308903083418004,6.910684739845482,5.292441649348818,5.463579021694935,-0.039912830202242906,-0.039912830202242906,-0.039912830202242906,-0.039912830202242906,-0.039912830202242906,-0.039912830202242906,0.0,0.0,0.0,5.1632576451455305
2021-04-26,5.377866304321124,3.833566481493542,7.548878476445807,5.2921992938648845,5.463743678439623,0.0422429734590095,0.0422429734590095,0.0422429734590095,0.0422429734590095,0.0422429734590095,0.0422429734590095,0.0,0.0,0.0,5.605043367880663
